lexeme_id,lemma,pos,cefr_level,review_priority,alignment_decision,import_eligibility,review_status,reviewer,reviewed_at,notes
11,abeille,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
18,abondance,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
28,aboutir,VER,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
80,accessoire,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
81,accident,NOM,A1,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
129,achat,NOM,A2,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
235,affecter,VER,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
294,agiter,VER,B1,P1,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
597,anonymat,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
609,antenne,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
675,appartenir,VER,A2,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
872,assemblage,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
895,assister,VER,A1,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
898,association,NOM,A1,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
922,astrologie,NOM,C1,P3,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
931,astéroïde,NOM,C1,P3,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
941,athéisme,NOM,C1,P3,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
1052,auteur,NOM,A2,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
1087,autorité,NOM,B1,P1,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
1228,balle,NOM,A2,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
1234,baluchon,NOM,C1,P3,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
1247,bandeau,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
1446,bit,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
1471,blessé,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
1500,bois,NOM,A1,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
1537,boots,NOM,C1,P3,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
1641,bowling,NOM,A2,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
